iib_code,eq_zone,eq_rate
2222,Zone II,0.25
2223,Zone II,0.25
2224,Zone II,0.25
2225,Zone II,0.25
2226,Zone II,0.25
2227,Zone II,0.25
2076,Zone II,0.25
2228,Zone II,0.25
2077,Zone II,0.25
2078,Zone II,0.25
2079,Zone II,0.25
2080,Zone II,0.25
2081,Zone II,0.25
2082,Zone II,0.25
2083,Zone II,0.25
2084,Zone II,0.25
2085,Zone II,0.25
2086,Zone II,0.25
2087,Zone II,0.25
2088,Zone II,0.25
2089,Zone II,0.25
2090,Zone II,0.25
2091,Zone II,0.25
2092,Zone II,0.25
2093,Zone II,0.25
2094,Zone II,0.25
2095,Zone II,0.25
2096,Zone II,0.25
2097,Zone II,0.25
2098,Zone II,0.25
2099,Zone II,0.25
2100,Zone II,0.25
2101,Zone II,0.25
2102,Zone II,0.25
2103,Zone II,0.25
2104,Zone II,0.25
2105,Zone II,0.25
2106,Zone II,0.25
2107,Zone II,0.25
2108,Zone II,0.25
2109,Zone II,0.25
2110,Zone II,0.25
2111,Zone II,0.25
2112,Zone II,0.25
2113,Zone II,0.25
2114,Zone II,0.25
2115,Zone II,0.25
2116,Zone II,0.25
2117,Zone II,0.25
2118,Zone II,0.25
2119,Zone II,0.25
2120,Zone II,0.25
2121,Zone II,0.25
2122,Zone II,0.25
2123,Zone II,0.25
2124,Zone II,0.25
2125,Zone II,0.25
2126,Zone II,0.25
2127,Zone II,0.25
2128,Zone II,0.25
2129,Zone II,0.25
2130,Zone II,0.25
2131,Zone II,0.25
2132,Zone II,0.25
2214,Zone II,0.25
2133,Zone II,0.25
2134,Zone II,0.25
2135,Zone II,0.25
2136,Zone II,0.25
2137,Zone II,0.25
2138,Zone II,0.25
2139,Zone II,0.25
2140,Zone II,0.25
2141,Zone II,0.25
2142,Zone II,0.25
2143,Zone II,0.25
2144,Zone II,0.25
2231,Zone II,0.25
2145,Zone II,0.25
2146,Zone II,0.25
2147,Zone II,0.25
2148,Zone II,0.25
2216,Zone II,0.25
2149,Zone II,0.25
2150,Zone II,0.25
2151,Zone II,0.25
2152,Zone II,0.25
2153,Zone II,0.25
2154,Zone II,0.25
2155,Zone II,0.25
2156,Zone II,0.25
2157,Zone II,0.25
2158,Zone II,0.25
2159,Zone II,0.25
2160,Zone II,0.25
2161,Zone II,0.25
2162,Zone II,0.25
2163,Zone II,0.25
2232,Zone II,0.25
2164,Zone II,0.25
2165,Zone II,0.25
2166,Zone II,0.25
2167,Zone II,0.25
2168,Zone II,0.25
2169,Zone II,0.25
2170,Zone II,0.25
2171,Zone II,0.25
2172,Zone II,0.25
2173,Zone II,0.25
2174,Zone II,0.25
2175,Zone II,0.25
2176,Zone II,0.25
2177,Zone II,0.25
2178,Zone II,0.25
2180,Zone II,0.25
2181,Zone II,0.25
2183,Zone II,0.25
2184,Zone II,0.25
2185,Zone II,0.25
2186,Zone II,0.25
2187,Zone II,0.25
2188,Zone II,0.25
2189,Zone II,0.25
2211,Zone II,0.25
2190,Zone II,0.25
2191,Zone II,0.25
2192,Zone II,0.25
2193,Zone II,0.25
2194,Zone II,0.25
2195,Zone II,0.25
2196,Zone II,0.25
2197,Zone II,0.25
2198,Zone II,0.25
2199,Zone II,0.25
2200,Zone II,0.25
2201,Zone II,0.25
2202,Zone II,0.25
2203,Zone II,0.25
2204,Zone II,0.25
2205,Zone II,0.25
2206,Zone II,0.25
2207,Zone II,0.25
2208,Zone II,0.25
4900,Zone II,0.25
3001,Zone II,0.25
3002,Zone II,0.25
3003,Zone II,0.25
3004,Zone II,0.25
3005,Zone II,0.25
3006,Zone II,0.25
3007,Zone II,0.25
3008,Zone II,0.25
3009,Zone II,0.25
3010,Zone II,0.25
3011,Zone II,0.25
3012,Zone II,0.25
3013,Zone II,0.25
3014,Zone II,0.25
3015,Zone II,0.25
3016,Zone II,0.25
3017,Zone II,0.25
3018,Zone II,0.25
3019,Zone II,0.25
4001,Zone II,0.25
4012,Zone II,0.25
4002,Zone II,0.25
4013,Zone II,0.25
4019,Zone II,0.25
4003,Zone II,0.25
4014,Zone II,0.25
4018,Zone II,0.25
4004,Zone II,0.25
4015,Zone II,0.25
4005,Zone II,0.25
4016,Zone II,0.25
4006,Zone II,0.25
4017,Zone II,0.25
4007,Zone II,0.25
4008,Zone II,0.25
4009,Zone II,0.25
4010,Zone II,0.25
4011,Zone II,0.25
1001,Zone III,0.1
1001_2,Zone III,0.1
1002,Zone III,0.1
1003,Zone III,0.1
1004,Zone III,0.1
1005,Zone III,0.1
1006,Zone III,0.1
1007,Zone III,0.1
1008,Zone III,0.1
1009,Zone III,0.1
1010,Zone III,0.1
1011,Zone III,0.1
1012,Zone III,0.1
1013,Zone III,0.1
1014,Zone III,0.1
1015,Zone III,0.1
1016,Zone III,0.1
1029,Zone III,0.1
1017,Zone III,0.1
1018,Zone III,0.1
1019,Zone III,0.1
1020,Zone III,0.1
1021,Zone III,0.1
1022,Zone III,0.1
1023,Zone III,0.1
1024,Zone III,0.1
1025,Zone III,0.1
1026,Zone III,0.1
1027,Zone III,0.1
1028,Zone III,0.1
2001,Zone III,0.1
2002,Zone III,0.1
2003,Zone III,0.1
2004,Zone III,0.1
2005,Zone III,0.1
2006,Zone III,0.1
2007,Zone III,0.1
2008,Zone III,0.1
2009,Zone III,0.1
2010,Zone III,0.1
2011,Zone III,0.1
2012,Zone III,0.1
2013,Zone III,0.1
2212,Zone III,0.1
2014,Zone III,0.1
2015,Zone III,0.1
2016,Zone III,0.1
2017,Zone III,0.1
2018,Zone III,0.1
2019,Zone III,0.1
2020,Zone III,0.1
2021,Zone III,0.1
2022,Zone III,0.1
2023,Zone III,0.1
2024,Zone III,0.1
2025,Zone III,0.1
2026,Zone III,0.1
